setup_date,fill_date,strategy,direction,contracts,fill_price,exit_price,exit_reason,pts,pts_net,pnl_dollars,risk_pts,R,equity_after
2005-01-12,2005-01-13,TOPQ,long,19,1573.25,1560.25,stop,-13.0,-13.5,-541.5,13.0,-1.0384615384615385,99458.5
2005-01-20,2005-01-21,NR7,short,11,1518.75,1509.5,close,9.25,8.75,176.0,21.25,0.4117647058823529,99634.5
2005-01-21,2005-01-24,TOPQ,short,19,1505.75,1493.5,target,12.25,11.75,418.0,12.75,0.9215686274509803,100052.5
2005-01-27,2005-01-28,NR7,long,14,1517.75,1500.5,stop,-17.25,-17.75,-518.0,17.25,-1.0289855072463767,99534.5
2005-02-08,2005-02-09,TOPQ,short,24,1526.75,1536.75,ambiguous_stop,-10.0,-10.5,-540.0,10.0,-1.05,98994.5
2005-02-14,2005-02-15,NR7,long,21,1543.25,1561.73,target,18.480000000000018,17.980000000000018,723.6600000000008,11.25,1.5982222222222238,99718.16
2005-02-18,2005-02-22,TOPQ,short,31,1513.75,1521.75,ambiguous_stop,-8.0,-8.5,-573.5,8.0,-1.0625,99144.66
2005-02-25,2005-02-28,TOPQ,long,40,1532.25,1523.25,stop,-9.0,-9.5,-820.0,9.0,-1.0555555555555556,98324.66
2005-03-01,2005-03-02,TOPQ,long,33,1532.25,1521.5,ambiguous_stop,-10.75,-11.25,-792.0,10.75,-1.0465116279069768,97532.66
2005-03-10,2005-03-11,TOPQ,long,24,1531.5,1516.5,stop,-15.0,-15.5,-780.0,15.0,-1.0333333333333334,96752.66
2005-03-15,2005-03-16,TOPQ,short,32,1500.75,1489.75,target,11.0,10.5,624.0,11.5,0.9130434782608695,97376.66
2005-03-22,2005-03-23,TOPQ,short,27,1472.75,1486.25,stop,-13.5,-14.0,-796.5,13.5,-1.037037037037037,96580.16
2005-03-28,2005-03-29,TOPQ,short,48,1479.25,1486.75,ambiguous_stop,-7.5,-8.0,-840.0,7.5,-1.0666666666666667,95740.16
2005-04-11,2005-04-12,TOPQ,short,44,1482.75,1491.0,ambiguous_stop,-8.25,-8.75,-836.0,8.25,-1.0606060606060606,94904.16
2005-04-13,2005-04-14,TOPQ,short,22,1465.25,1450.75,target,14.5,14.0,583.0,15.0,0.9333333333333333,95487.16
2005-04-14,2005-04-15,TOPQ,short,20,1438.75,1421.25,target,17.5,17.0,650.0,18.0,0.9444444444444444,96137.16
2005-04-19,2005-04-20,NR7,long,20,1432.0,1414.0,stop,-18.0,-18.5,-770.0,18.0,-1.0277777777777777,95367.16
2005-04-25,2005-04-26,NR7,long,24,1444.25,1430.0,stop,-14.25,-14.75,-744.0,14.25,-1.0350877192982457,94623.16
2005-04-28,2005-04-29,TOPQ,short,36,1411.25,1421.0,ambiguous_stop,-9.75,-10.25,-792.0,9.75,-1.0512820512820513,93831.16
2005-05-17,2005-05-18,TOPQ,long,28,1495.75,1507.25,target,11.5,11.0,574.0,12.0,0.9166666666666666,94405.16
2005-06-02,2005-06-03,TOPQ,long,39,1572.25,1563.5,stop,-8.75,-9.25,-780.0,8.75,-1.0571428571428572,93625.16
2005-06-14,2005-06-15,TOPQ,short,28,1521.25,1533.5,stop,-12.25,-12.75,-756.0,12.25,-1.0408163265306123,92869.16
2005-07-01,2005-07-05,TOPQ,short,45,1497.75,1505.25,stop,-7.5,-8.0,-787.5,7.5,-1.0666666666666667,92081.66
2005-07-06,2005-07-07,TOPQ,short,38,1504.25,1513.25,ambiguous_stop,-9.0,-9.5,-779.0,9.0,-1.0555555555555556,91302.66
2005-07-07,2005-07-08,TOPQ,long,14,1514.25,1538.5,target,24.25,23.75,644.0,24.75,0.9595959595959596,91946.66
2005-07-19,2005-07-20,TOPQ,long,33,1601.25,1591.25,ambiguous_stop,-10.0,-10.5,-742.5,10.0,-1.05,91204.16
2005-08-12,2005-08-15,NR7,long,22,1600.25,1606.0,close,5.75,5.25,198.0,14.75,0.3559322033898305,91402.16
2005-09-28,2005-09-29,NR7,short,13,1575.25,1592.5,stop,-17.25,-17.75,-481.0,17.25,-1.0289855072463767,90921.16
2005-10-03,2005-10-04,NR7,long,30,1624.75,1613.5,stop,-11.25,-11.75,-750.0,11.25,-1.0444444444444445,90171.16
2005-10-04,2005-10-05,TOPQ,short,24,1602.75,1589.75,target,13.0,12.5,564.0,13.5,0.9259259259259259,90735.16
2005-10-05,2005-10-06,TOPQ,short,24,1580.75,1567.75,target,13.0,12.5,564.0,13.5,0.9259259259259259,91299.16
2005-10-11,2005-10-12,TOPQ,short,32,1542.75,1553.25,ambiguous_stop,-10.5,-11.0,-752.0,10.5,-1.0476190476190477,90547.16
2005-10-18,2005-10-19,TOPQ,short,38,1543.75,1552.75,ambiguous_stop,-9.0,-9.5,-779.0,9.0,-1.0555555555555556,89768.16
2005-10-19,2005-10-20,TOPQ,long,14,1582.25,1557.75,stop,-24.5,-25.0,-721.0,24.5,-1.0204081632653061,89047.16
2005-10-21,2005-10-24,TOPQ,long,36,1580.25,1571.0,ambiguous_stop,-9.25,-9.75,-756.0,9.25,-1.054054054054054,88291.16
2005-10-28,2005-10-31,TOPQ,long,33,1565.25,1574.75,target,9.5,9.0,544.5,10.0,0.9,88835.66
